,117.03,,,163.37,,,,,,,,,,,,,,,,
108.13,,,,200.43,,,,,,,283.96,,,,,,,,,
,,,168.32,,,112.24,122.13,,,,,,,,,,,,,
,,167.36,,86.58,,,,,,,,,,,,,,,,
163.37,227.27,,85.27,,,,,,128.57,,184.12,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,127.08,,,,,71.44,,,,,,107.12,,,,,,,
,,131.13,,,,65.34,,,,,,,,116.04,,,,,,
,,,,,,,,,161.04,152.49,,,,,98.94,,,,,
,,,,135.27,,,,163.29,,37.9,74.43,,,,,,,,,
,,,,,,,,159.16,37.9,,74.43,,,,,199.99,,,,
,293.94,,,179.18,,,,,74.43,74.43,,,,,,214.42,,,,248.45
,,,,,179.18,,,,,,,,,57.87,215.95,,,,,
,,,,,,108.89,,,,,,,,110.04,,,87.29,,,
,,,,,,,113.24,,,,,58.3,105.72,,,,,252.12,,
,,,,,,,,98.94,,,,191.72,,,,50.35,,173.62,95.17,
,,,,,,,,,,133.29,207.71,,,,50.35,,,,,217.93
,,,,,,,,,,,,,90.46,,,,,,,
,,,,,,,,,,,,,,239.1,196.67,,,,108.65,
,,,,,,,,,,,,,,,88.02,,,90.41,,168.63
,,,,,,,,,,,243.45,,,,,222.3,,,140.79,
